S No,District Code,District Name (In English),Sub-District Code,Sub-District Name (In English),Village Code,Village Name (In English),Block Panchayat Code,Block Panchayat Name(In English),Gram Panchayat Code,Gram Panchayat Name(In English),Development Block Code,Development Block Name(In English),District Code of Development Block,District Name of Development Block
1,361,Kendujhar,2854,Anandapur,387063,Adghuria,3812,Hatadihi,119403,Panchugochia,3449,Hatadihi,361,Kendujhar
2,361,Kendujhar,2854,Anandapur,387059,Akarua,3812,Hatadihi,119383,Akarua,3449,Hatadihi,361,Kendujhar
3,361,Kendujhar,2854,Anandapur,387058,Ambagadia,3812,Hatadihi,119383,Akarua,3449,Hatadihi,361,Kendujhar
4,361,Kendujhar,2854,Anandapur,386987,Andharjhari,3806,Anandapur,119262,Panasadiha,3443,Anandapur,361,Kendujhar
5,361,Kendujhar,2854,Anandapur,386986,Asanabani,3806,Anandapur,119262,Panasadiha,3443,Anandapur,361,Kendujhar
6,361,Kendujhar,2854,Anandapur,386978,Badakusapada,3806,Anandapur,119261,Manoharpur,3443,Anandapur,361,Kendujhar
7,361,Kendujhar,2854,Anandapur,387009,Badapurunapani,3806,Anandapur,119254,Gayalamunda,3443,Anandapur,361,Kendujhar
8,361,Kendujhar,2854,Anandapur,386995,Badudighara,3806,Anandapur,119254,Gayalamunda,3443,Anandapur,361,Kendujhar
9,361,Kendujhar,2854,Anandapur,387051,Bahabaradanga,3806,Anandapur,119264,Taratara,3443,Anandapur,361,Kendujhar
10,361,Kendujhar,2854,Anandapur,386976,Baigundi,3806,Anandapur,119261,Manoharpur,3443,Anandapur,361,Kendujhar
11,361,Kendujhar,2854,Anandapur,387065,Balabhadrapur,3812,Hatadihi,119403,Panchugochia,3449,Hatadihi,361,Kendujhar
12,361,Kendujhar,2854,Anandapur,387039,Baladuan,3806,Anandapur,119263,Salabani,3443,Anandapur,361,Kendujhar
13,361,Kendujhar,2854,Anandapur,387056,Balakati,3806,Anandapur,119264,Taratara,3443,Anandapur,361,Kendujhar
14,361,Kendujhar,2854,Anandapur,387061,Bancho,3812,Hatadihi,119387,Bancho,3449,Hatadihi,361,Kendujhar
15,361,Kendujhar,2854,Anandapur,386980,Baniajodi,3806,Anandapur,119262,Panasadiha,3443,Anandapur,361,Kendujhar
16,361,Kendujhar,2854,Anandapur,387026,Bankhidi,3806,Anandapur,119251,Baunsagarh,3443,Anandapur,361,Kendujhar
17,361,Kendujhar,2854,Anandapur,387073,Baradi,3812,Hatadihi,119403,Panchugochia,3449,Hatadihi,361,Kendujhar
18,361,Kendujhar,2854,Anandapur,387074,Bareswar,3812,Hatadihi,119403,Panchugochia,3449,Hatadihi,361,Kendujhar
19,361,Kendujhar,2854,Anandapur,387041,Baruan,3806,Anandapur,119257,Kantipal,3443,Anandapur,361,Kendujhar
20,361,Kendujhar,2854,Anandapur,387028,Baunsagarh,3806,Anandapur,119251,Baunsagarh,3443,Anandapur,361,Kendujhar
21,361,Kendujhar,2854,Anandapur,387023,Beladiha,3806,Anandapur,119259,Kodapada,3443,Anandapur,361,Kendujhar
